ID,Lat,Lon,DetCov1,Elevation,Depth,Length,Width,Area,,,Wetland Type,Other,Beaver Influenced,NOTES
CO-PUMP,40.000581,-105.189214,,1610,0.10,,,3683.00,Pond,Permanent,Other,2009,N/A,
CO-9151,39.854853,-105.18957,,1793,,,,,Pond,Temporary,Artificial,2007,N/A,
CO-11441,40.150196,-105.190675,,1559,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
CO-11441,40.150196,-105.190675,,1559,2.00,,,7852.00,Pond,Permanent,Artificial,2009,N/A,
12552,39.97942,-105.19118,,1660,2.00,,,13995.00,Pond,Permanent,Artificial,2009,N/A,
CO-SAW7,40.039836,-105.191611,,1572,,,,4343.00,Pond,Permanent,Other,2008,N/A,
CO-11300,40.166791,-105.192082,,1567,2.00,,,1500.00,Pond,Permanent,Artificial,2008,N/A,
CO-11300,40.166791,-105.192082,,1567,,,,1479.00,Pond,Permanent,Artificial,2009,N/A,
11307,40.165923,-105.192712,,1569,1.00,,,678.00,Pond,Permanent,,2009,N/A,
12608,39.96183,-105.19322,,1715,2.00,,,6128.00,Pond,Temporary,Artificial,2009,N/A,
12608,39.96183,-105.19322,,1715,2.00,450.62,,5442.80,Pond,Temporary,Artificial,2010,N/A,
12608,39.96183,-105.19322,,1715,2.00,305.78,,5357.00,Pond,Temporary,Artificial,2010,N/A,
12608,39.96183,-105.19322,,1715,2.00,289.68,,5774.80,Pond,Temporary,Artificial,2010,N/A,
12608,39.96183,-105.19322,,1715,1.00,275.00,,4847.00,Pond,Temporary,Artificial,2011,N/A,
D6-02,40.06388,-105.19772,,1587,0.50,386.24,,3492.20,Ditch,Temporary,Artificial,2010,N/A,
D6-02,40.06388,-105.19772,,1587,0.30,402.34,,5050.20,Ditch,Temporary,Artificial,2010,N/A,
D6-02,40.06388,-105.19772,,1587,1.50,241.40,,1386.62,Ditch,Temporary,Artificial,2010,N/A,
D6-02,40.06388,-105.19772,,1587,0.20,402.34,,5319.20,Ditch,Temporary,Artificial,2010,N/A,
D6-02,40.06388,-105.19772,,1587,0.40,386.24,,5302.10,Ditch,Temporary,Artificial,2010,N/A,
D6-02,40.06388,-105.19772,,1587,0.50,386.24,,5333.60,Ditch,Temporary,Artificial,2010,N/A,
CO-COJU,39.93269,-105.19839,,1740,1.00,40.00,,160.00,Pond,Temporary,Natural,2011,N/A,
CO-COJU,39.93269,-105.19839,,1740,0.25,,,523.00,Pond,Temporary,Natural,2011,N/A,
12770,39.93367,-105.19891,,1741,0.60,,,660.00,Stream,Temporary,Natural,2009,N/A,
12770,39.93367,-105.19891,,1741,0.30,,,,Stream,Temporary,Natural,2011,N/A,
12770,39.93367,-105.19891,,1741,0.25,35.00,,20.00,Stream,Temporary,Natural,2011,N/A,
CO-9211,39.843191,-105.199114,,1755,2.00,,,2433.00,Pond,Temporary,Artificial,2007,N/A,
CO-9211,39.843191,-105.199114,,1755,1.00,,,,Pond,Temporary,Artificial,2009,N/A,
12611,39.96046,-105.20056,,1701,,,,,Stream,Temporary,Artificial,2007,N/A,
12611,39.96046,-105.20056,,1701,3.00,,,4029.00,Stream,Temporary,Artificial,2009,N/A,
12611,39.96046,-105.20056,,1701,,,,,Stream,Temporary,Artificial,2009,N/A,
12611,39.96046,-105.20056,,1701,,,,,Stream,Temporary,Artificial,2009,N/A,
12611,39.96046,-105.20056,,1701,1.20,434.52,,4292.80,Stream,Temporary,Artificial,2010,N/A,
12611,39.96046,-105.20056,,1701,1.00,482.80,,4044.00,Stream,Temporary,Artificial,2010,N/A,
12611,39.96046,-105.20056,,1701,0.50,450.62,,3203.40,Stream,Temporary,Artificial,2010,N/A,
12611,39.96046,-105.20056,,1701,1.00,157.00,,932.80,Stream,Temporary,Artificial,2011,N/A,
12611,39.96046,-105.20056,,1701,1.00,150.00,,1057.00,Stream,Temporary,Artificial,2011,N/A,
CO-GOLDR,40.1649,-105.20097,,,,,,,,,,2009,N/A,
12573,39.97069,-105.20219,,1693,,,,625.00,Pond,Permanent,Artificial,2009,N/A,
12573,39.97069,-105.20219,,1693,2.00,,,495.00,Pond,Permanent,Artificial,2009,N/A,
12573,39.97069,-105.20219,,1693,3.00,109.42,,423.00,Pond,Permanent,Artificial,2010,N/A,
12573,39.97069,-105.20219,,1693,2.50,393.00,,587.80,Pond,Permanent,Artificial,2010,N/A,
12573,39.97069,-105.20219,,1693,2.50,95.40,,477.90,Pond,Permanent,Artificial,2010,N/A,
CO-SAW?,40.035427,-105.203675,,1578,,,,31875.00,Pond,Permanent,Other,2008,N/A,
10511,40.13446,-105.20704,,1585,,,,2893.00,Pond,Permanent,,2009,N/A,
10511,40.13446,-105.20704,,1585,,,,2674.00,Pond,Permanent,,2009,N/A,
Eggl3,39.92734,-105.20765,,1755,2.00,,,20930.00,Pond,Semi-permanent,Artificial,2008,N/A,
Eggl3,39.92734,-105.20765,,1755,5.00,,,27838.00,Pond,Semi-permanent,Artificial,2009,N/A,
Eggl3,39.92734,-105.20765,,1755,,,,,Pond,Semi-permanent,Artificial,2009,N/A,
Eggl3,39.92734,-105.20765,,1755,1.50,852.95,,21550.00,Pond,Semi-permanent,Artificial,2010,N/A,
Eggl3,39.92734,-105.20765,,1755,2.00,627.64,,17660.00,Pond,Semi-permanent,Artificial,2010,N/A,
Eggl3,39.92734,-105.20765,,1755,1.50,0.31,,15829.00,Pond,Semi-permanent,Artificial,2010,N/A,
Eggl3,39.92734,-105.20765,,1755,1.00,,,10277.60,Pond,Semi-permanent,Artificial,2011,N/A,
Eggl3,39.92734,-105.20765,,1755,1.10,433.00,,12023.00,Pond,Semi-permanent,Artificial,2011,N/A,
11508,40.13721,-105.20856,,1580,,,,9785.00,Pond,Permanent,Artificial,2009,N/A,
CO-TEAL,40.13721,-105.20856,,1582,3.00,,,9724.00,Pond,Permanent,Artificial,2009,N/A,
12598,39.96465,-105.21254,,1697,2.00,,,,Pond,Temporary,Artificial,2007,N/A,
12598,39.96465,-105.21254,,1697,3.00,,,,Pond,Temporary,Artificial,2009,N/A,
12598,39.96465,-105.21254,,1697,2.00,209.21,,2064.50,Pond,Temporary,Artificial,2010,N/A,
12598,39.96465,-105.21254,,1697,1.50,257.50,,3194.70,Pond,Temporary,Artificial,2010,N/A,
12598,39.96465,-105.21254,,1697,2.00,193.12,,1702.70,Pond,Temporary,Artificial,2010,N/A,
12598,39.96465,-105.21254,,1697,,345.00,,2097.00,Pond,Temporary,Artificial,2011,N/A,
12598,39.96465,-105.21254,,1697,1.00,370.00,,2233.90,Pond,Temporary,Artificial,2011,N/A,
12598,39.96465,-105.21254,,1697,1.30,,,,Pond,Temporary,Artificial,2011,N/A,
I5-09,39.99928,-105.21311,,1619,0.00,402.34,,7687.60,Wetland,Temporary,Natural,2010,N/A,
I5-09,39.99928,-105.21311,,1619,0.00,402.30,,7687.60,Wetland,Temporary,Natural,2010,N/A,
I5-09,39.99928,-105.21311,,1619,0.00,160.93,,1115.80,Wetland,Temporary,Natural,2010,N/A,
I5-09,39.99928,-105.21311,,1619,0.00,321.87,,5795.70,Wetland,Temporary,Natural,2010,N/A,
I5-09,39.99928,-105.21311,,1619,0.00,354.06,,7947.90,Wetland,Temporary,Natural,2010,N/A,
CO-12579,39.969543,-105.213509,,1677,1.50,,,,Pond,Permanent,Other,2007,N/A,
CO-12579,39.969543,-105.213509,,1677,,,,,Pond,Permanent,Other,2007,N/A,
CO-12579,39.969543,-105.213509,,1677,1.00,246.00,,2890.00,Pond,Permanent,Other,2011,N/A,
G5-06,40.02439,-105.21499,,1591,0.10,209.21,,807.10,Ditch,Temporary,Artificial,2010,N/A,
G5-06,40.02439,-105.21499,,1591,0.02,209.20,,807.10,Ditch,Temporary,Artificial,2010,N/A,
G5-06,40.02439,-105.21499,,1591,0.00,103.60,,413.10,Ditch,Temporary,Artificial,2010,N/A,
G5-06,40.02439,-105.21499,,1591,0.10,168.25,,483.90,Ditch,Temporary,Artificial,2010,N/A,
G5-06,40.02439,-105.21499,,1591,0.20,171.91,,48.73,Ditch,Temporary,Artificial,2010,N/A,
G5-06,40.02439,-105.21499,,1591,0.20,174.65,,494.40,Ditch,Temporary,Artificial,2010,N/A,
12914,39.901603,-105.215156,,1825,0.50,,,2288.00,Pond,Permanent,Artificial,2007,N/A,
CO-SORO,40.0441,-105.21667,,1595,,,,748.00,Pond,Permanent,Artificial,2009,N/A,
CO-BABY,39.494533,-105.217287,,2404,,,,726.00,Pond,Permanent,Artificial,2007,N/A,
H5-01,40.00026,-105.2191,,1610,0.50,1190.92,,21877.00,Wetland,Temporary,Natural,2010,N/A,
H5-01,40.00026,-105.2191,,1610,0.01,1190.90,,21877.00,Wetland,Temporary,Natural,2010,N/A,
H5-01,40.00026,-105.2191,,1610,0.00,1673.72,,94630.41,Wetland,Temporary,Natural,2010,N/A,
H5-01,40.00026,-105.2191,,1610,0.00,1094.35,,46777.00,Wetland,Temporary,Natural,2010,N/A,
H5-01,40.00026,-105.2191,,1610,0.00,0.56,,30995.00,Wetland,Temporary,Natural,2010,N/A,
H5-01,40.00026,-105.2191,,1610,0.00,949.51,,33672.30,Wetland,Temporary,Natural,2010,N/A,
I5-03,39.99092,-105.21936,,1630,1.00,225.30,,1277.30,Pond,Temporary,Natural,2010,N/A,
I5-03,39.99092,-105.21936,,1630,0.00,209.21,,1359.50,Pond,Temporary,Natural,2010,N/A,
I5-03,39.99092,-105.21936,,1630,0.00,193.12,,1337.26,Pond,Temporary,Natural,2010,N/A,
I5-03,39.99092,-105.21936,,1630,0.00,209.21,,1546.60,Pond,Temporary,Natural,2010,N/A,
I5-03,39.99092,-105.21936,,1630,0.00,209.21,,1713.10,Pond,Temporary,Natural,2010,N/A,
I5-03,39.99092,-105.21936,,1630,0.00,209.21,,1714.50,Pond,Temporary,Natural,2010,N/A,
I5-24,39.98647,-105.2204,,1628,2.50,207.87,,705.20,Pond,Temporary,Artificial,2010,N/A,
I5-24,39.98647,-105.2204,,1628,0.00,207.90,,705.20,Pond,Temporary,Artificial,2010,N/A,
I5-24,39.98647,-105.2204,,1628,0.00,149.05,,385.00,Pond,Temporary,Artificial,2010,N/A,
I5-24,39.98647,-105.2204,,1628,0.00,109.42,,390.30,Pond,Temporary,Artificial,2010,N/A,
I5-24,39.98647,-105.2204,,1628,0.00,100.58,,475.40,Pond,Temporary,Artificial,2010,N/A,
I5-24,39.98647,-105.2204,,1628,0.00,103.33,,484.50,Pond,Temporary,Artificial,2010,N/A,
CO-FORLE,40.012593,-105.22226,,1605,,,,1746.00,Pond,Permanent,Artificial,2008,N/A,
Eggl4,39.93517,-105.22258,,1791,,,,39000.00,Lake,Permanent,Artificial,2008,N/A,
Eggl4,39.93517,-105.22258,,1791,,,,40080.00,Lake,Permanent,Artificial,2009,N/A,
Eggl4,39.93517,-105.22258,,1791,,,,40565.00,Lake,Permanent,Artificial,2009,N/A,
Eggl4,39.93517,-105.22258,,1791,3.00,1062.16,,51731.00,Lake,Permanent,Artificial,2010,N/A,
Eggl4,39.93517,-105.22258,,1791,2.50,1029.98,,25750.00,Lake,Permanent,Artificial,2010,N/A,
Eggl4,39.93517,-105.22258,,1791,3.00,933.42,,52385.00,Lake,Permanent,Artificial,2010,N/A,
Eggl4,39.93517,-105.22258,,1791,2.00,906.00,,46189.00,Lake,Permanent,Artificial,2011,N/A,
Eggl4,39.93517,-105.22258,,1791,2.00,,,,Lake,Permanent,Artificial,2011,N/A,
CO-lawnc,39.496219,-105.223548,,,1.30,,,1913.00,Pond,Permanent,Artificial,2007,N/A,
CO-Dum,39.93021,-105.22462,,1791,2.00,,,652.30,Pond,Permanent,Artificial,2011,N/A,
CO-Dum,39.93021,-105.22462,,1791,2.00,,,650.00,Pond,Permanent,Artificial,2011,N/A,
CO-9960,39.895499,-105.224628,,1850,,,,,Pond,Permanent,Artificial,2007,N/A,
CO-9960,39.895499,-105.224628,,1850,41.10,112.00,,1423.00,Pond,Permanent,Artificial,2011,N/A,
CO-9960,39.895499,-105.224628,,1850,5.00,,,,Pond,Permanent,Artificial,2011,N/A,
9965,39.89512,-105.22594,,1910,0.60,,,507.00,Pond,Permanent,Artificial,2007,N/A,
9965,39.89512,-105.22594,,1910,1.50,131.98,,989.77,Pond,Permanent,Artificial,2010,N/A,
9965,39.89512,-105.22594,,1910,1.50,110.64,,978.60,Pond,Permanent,Artificial,2010,N/A,
9965,39.89512,-105.22594,,1910,0.10,34.75,,78.40,Pond,Permanent,Artificial,2010,N/A,
CO-Angry,40.156499,-105.227613,,1607,1.50,,,,Pond,Permanent,Artificial,2007,N/A,
12588,39.967297,-105.228176,,1659,,,,2179.00,Pond,Permanent,Artificial,2009,N/A,
12588,39.967297,-105.228176,,1659,2.00,241.40,,1646.20,Pond,Permanent,Artificial,2010,N/A,
12588,39.967297,-105.228176,,1659,2.00,241.40,,1684.60,Pond,Permanent,Artificial,2010,N/A,
12588,39.967297,-105.228176,,1659,1.50,305.78,,1869.40,Pond,Permanent,Artificial,2010,N/A,
12588,39.967297,-105.228176,,1659,2.00,232.00,,1637.60,Pond,Permanent,Artificial,2011,N/A,
12588,39.967297,-105.228176,,1659,5.00,,,,Pond,Permanent,Artificial,2011,N/A,
CO-GOAT,40.172599,-105.228238,,1609,,,,1191.00,Pond,Permanent,Natural,2008,N/A,
Squito,39.96775,-105.22829,,1657,3.00,354.06,,1967.10,Pond,Permanent,Artificial,2010,N/A,
Squito,39.96775,-105.22829,,1657,2.50,289.68,,2387.10,Pond,Permanent,Artificial,2010,N/A,
Squito,39.96775,-105.22829,,1657,2.50,321.87,,2440.30,Pond,Permanent,Artificial,2010,N/A,
Squito,39.96775,-105.22829,,1657,2.00,224.00,,2044.00,Pond,Permanent,Artificial,2011,N/A,
Squito,39.96775,-105.22829,,1657,2.00,,,,Pond,Permanent,Artificial,2011,N/A,
J4-02,39.98302,-105.22881,,1637,0.30,1094.35,,23632.00,Wetland,Temporary,Artificial,2010,N/A,
J4-02,39.98302,-105.22881,,1637,1.00,1094.40,,23632.00,Wetland,Temporary,Artificial,2010,N/A,
J4-02,39.98302,-105.22881,,1637,2.00,0.87,,73920.66,Wetland,Temporary,Artificial,2010,N/A,
J4-02,39.98302,-105.22881,,1637,1.00,1078.26,,23632.00,Wetland,Temporary,Artificial,2010,N/A,
J4-02,39.98302,-105.22881,,1637,1.00,933.42,,32904.00,Wetland,Temporary,Artificial,2010,N/A,
J4-02,39.98302,-105.22881,,1637,1.00,981.70,,32986.00,Wetland,Temporary,Artificial,2010,N/A,
J4-02,39.98302,-105.22881,,1637,6.00,71.00,,403.00,Wetland,Temporary,Artificial,2011,N/A,
J4-02,39.98302,-105.22881,,1637,2.00,71.00,,403.00,Wetland,Temporary,Artificial,2011,N/A,
CO-JAZZ,39.96561,-105.22923,,1665,1.60,166.00,,900.00,Pond,Temporary,Artificial,2011,N/A,
CO-JAZZ,39.96561,-105.22923,,1665,2.20,146.00,,176.00,Pond,Temporary,Artificial,2011,N/A,
0000,39.96764,-105.23079,,1660,,,,383.00,Pond,Permanent,Artificial,2008,N/A,
0000,39.96764,-105.23079,,1660,2.50,118.87,,1248.80,Pond,Permanent,Artificial,2010,N/A,
0000,39.96764,-105.23079,,1660,5.00,675.92,,15032.58,Pond,Permanent,Artificial,2010,N/A,
0000,39.96764,-105.23079,,1660,2.50,659.83,,16260.00,Pond,Permanent,Artificial,2010,N/A,
0000,39.96764,-105.23079,,1660,2.50,708.11,,18972.00,Pond,Permanent,Artificial,2010,N/A,
0000,39.96764,-105.23079,,1660,2.50,708.11,,18972.00,Pond,Permanent,Artificial,2010,N/A,
0000,39.96764,-105.23079,,1660,2.50,675.92,,18954.00,Pond,Permanent,Artificial,2010,N/A,
0000,39.96764,-105.23079,,1660,2.50,0.41,,18942.30,Pond,Permanent,Artificial,2010,N/A,
0000,39.96764,-105.23079,,1660,1.50,203.00,,4137.00,Pond,Permanent,Artificial,2011,N/A,
0000,39.96764,-105.23079,,1660,1.50,200.00,,4130.00,Pond,Permanent,Artificial,2011,N/A,
CO-SPONG,39.98187,-105.23109,,,1.20,,,10399.00,Pond,Permanent,Artificial,2011,N/A,
CO-SPONG,39.98187,-105.23109,,,2.00,556.00,,10568.00,Pond,Permanent,Artificial,2011,N/A,
CO-Tenni,39.97842,-105.23137,,1649,1.20,347.00,,7557.00,Pond,Permanent,Artificial,2011,N/A,
CO-Tenni,39.97842,-105.23137,,1649,2.00,350.00,,7560.00,Pond,Permanent,Artificial,2011,N/A,
CO-SNAP,39.98473,-105.23459,,,,463.00,,12969.00,Lake,Permanent,Artificial,2011,N/A,
CO-SNAP,39.98473,-105.23459,,,1.00,463.00,,12969.00,Lake,Permanent,Artificial,2011,N/A,
CO-GAZEC,39.98305,-105.23531,,1638,4.00,227.00,,2169.00,Pond,Permanent,Artificial,2011,N/A,
CO-CAMEX,40.209432,-105.235538,,1604,,,,6975.00,Pond,Permanent,Artificial,2008,N/A,
CO-PooD,40.167596,-105.235738,,,1.50,,,,Pond,Permanent,Natural,2007,N/A,
CO-PooD,40.167596,-105.235738,,,,,,8183.00,Pond,Permanent,Natural,2008,N/A,
CO-PooD,40.167596,-105.235738,,,,,,,Pond,Permanent,Natural,2008,N/A,
CO-PooD,40.167596,-105.235738,,,,,,,Pond,Permanent,Natural,2008,N/A,
CO-PooD,40.167596,-105.235738,,,,,,,Pond,Permanent,Natural,2008,N/A,
CO-PooD,40.167596,-105.235738,,,,,,,Pond,Permanent,Natural,2008,N/A,
CO-GBH2,39.9608,-105.23705,,3255,3.50,315.00,,6938.00,Pond,Permanent,Artificial,2011,N/A,
CO-GBH2,39.9608,-105.23705,,3255,5.00,320.00,,6940.00,Pond,Permanent,Artificial,2011,N/A,
12612,39.95999,-105.2373,,1672,,,,,Pond,Permanent,Artificial,2007,N/A,
12612,39.95999,-105.2373,,1672,2.00,177.03,,888.80,Pond,Permanent,Artificial,2010,N/A,
12612,39.95999,-105.2373,,1672,1.50,134.11,,586.60,Pond,Permanent,Artificial,2010,N/A,
12612,39.95999,-105.2373,,1672,2.00,92.35,,66.00,Pond,Permanent,Artificial,2010,N/A,
12612,39.95999,-105.2373,,1672,1.00,85.95,,663.40,Pond,Permanent,Artificial,2010,N/A,
12612,39.95999,-105.2373,,1672,1.50,87.78,,662.60,Pond,Permanent,Artificial,2010,N/A,
12612,39.95999,-105.2373,,1672,1.00,77.11,,614.30,Pond,Permanent,Artificial,2010,N/A,
12612,39.95999,-105.2373,,1672,,,,,Pond,Permanent,Artificial,2011,N/A,
12612,39.95999,-105.2373,,1672,1.00,100.00,,529.00,Pond,Permanent,Artificial,2011,N/A,
CO-TANT,39.98037,-105.2373,,1628,2.00,410.00,,8592.60,Pond,Permanent,Artificial,2011,N/A,
CO-TANT,39.98037,-105.2373,,1628,2.00,446.00,,8712.80,Pond,Permanent,Artificial,2011,N/A,
CO-TMAD,40.168978,-105.237923,,,,,,,,,,2007,N/A,
CO-TMAD,40.168978,-105.237923,,,1.00,,,,,,,2008,N/A,
CO-TMAD,40.168978,-105.237923,,,,,,,,,,2008,N/A,
CO-TMAD,40.168978,-105.237923,,,,,,,,,,2008,N/A,
CO-TMAD,40.168978,-105.237923,,,,,,,,,,2008,N/A,
CO-TMAD,40.168978,-105.237923,,,,,,,,,,2008,N/A,
CO-TMAD,40.168978,-105.237923,,,,,,379.00,,,,2009,N/A,
CO-SWISS,40.173482,-105.238137,,1632,,,,5154.00,Pond,Permanent,Artificial,2008,N/A,
F4-01,40.03132,-105.23883,,1613,0.20,305.78,,965.50,Ditch,Temporary,Artificial,2010,N/A,
F4-01,40.03132,-105.23883,,1613,0.10,305.78,,2418.00,Ditch,Temporary,Artificial,2010,N/A,
F4-01,40.03132,-105.23883,,1613,0.30,0.11,,790.65,Ditch,Temporary,Artificial,2010,N/A,
F4-01,40.03132,-105.23883,,1613,0.30,257.50,,1551.70,Ditch,Temporary,Artificial,2010,N/A,
F4-01,40.03132,-105.23883,,1613,0.30,257.50,,1558.30,Ditch,Temporary,Artificial,2010,N/A,
F4-01,40.03132,-105.23883,,1613,0.00,257.50,,1548.20,Ditch,Temporary,Artificial,2010,N/A,
10585,39.92301,-105.2392,,1824,2.00,,,11200.00,Pond,Permanent,Artificial,2007,N/A,
10585,39.92301,-105.2392,,1824,,,,6383.00,Pond,Permanent,Artificial,2008,N/A,
10585,39.92301,-105.2392,,1824,,,,,Pond,Permanent,Artificial,2008,N/A,
10585,39.92301,-105.2392,,1824,,,,,Pond,Permanent,Artificial,2008,N/A,
10585,39.92301,-105.2392,,1824,,,,,Pond,Permanent,Artificial,2008,N/A,
10585,39.92301,-105.2392,,1824,,,,,Pond,Permanent,Artificial,2008,N/A,
10585,39.92301,-105.2392,,1824,2.00,595.45,,14856.00,Pond,Permanent,Artificial,2010,N/A,
10585,39.92301,-105.2392,,1824,2.00,675.92,,13723.00,Pond,Permanent,Artificial,2010,N/A,
10585,39.92301,-105.2392,,1824,2.00,514.99,,13186.00,Pond,Permanent,Artificial,2010,N/A,
10585,39.92301,-105.2392,,1824,6.00,371.00,,7957.00,Pond,Permanent,Artificial,2011,N/A,
10585,39.92301,-105.2392,,1824,1.50,371.00,,7748.00,Pond,Permanent,Artificial,2011,N/A,
CO-Lunch,40.167918,-105.239422,,1624,,,,,Pond,Permanent,Artificial,2007,N/A,
CO-Lunch,40.167918,-105.239422,,1624,0.80,,,616.00,Pond,Permanent,Artificial,2009,N/A,
10846,39.95211,-105.24023,,1685,1.85,,,,Pond,Semi-permanent,Artificial,2007,N/A,
10846,39.95211,-105.24023,,1685,2.50,289.68,,2686.10,Pond,Semi-permanent,Artificial,2010,N/A,
10846,39.95211,-105.24023,,1685,2.00,273.59,,2778.60,Pond,Semi-permanent,Artificial,2010,N/A,
10846,39.95211,-105.24023,,1685,2.00,257.50,,1841.10,Pond,Semi-permanent,Artificial,2010,N/A,
10846,39.95211,-105.24023,,1685,1.50,234.00,,2703.00,Pond,Semi-permanent,Artificial,2011,N/A,
10846,39.95211,-105.24023,,1685,2.00,237.00,,2482.00,Pond,Semi-permanent,Artificial,2011,N/A,
11660,40.11046,-105.24081,,1615,,,,3647.00,Pond,Permanent,Artificial,2009,N/A,
CO-10609,40.23302,-105.24127,,,2.00,,,,Pond,Permanent,Artificial,2009,N/A,
Horse,39.94675,-105.24154,,1701,2.00,,,318.00,Pond,Semi-permanent,Artificial,2007,N/A,
Horse,39.94675,-105.24154,,1701,5.00,178.92,,513.35,Pond,Semi-permanent,Artificial,2010,N/A,
Horse,39.94675,-105.24154,,1701,2.00,193.12,,516.90,Pond,Semi-permanent,Artificial,2010,N/A,
Horse,39.94675,-105.24154,,1701,7.50,156.36,,447.20,Pond,Semi-permanent,Artificial,2010,N/A,
Horse,39.94675,-105.24154,,1701,1.50,,,520.00,Pond,Semi-permanent,Artificial,2011,N/A,
Horse,39.94675,-105.24154,,1701,2.00,56.00,,192.80,Pond,Semi-permanent,Artificial,2011,N/A,
CO-LBnch,39.499723,-105.241678,,2498,,,,306.00,Pond,Permanent,Artificial,2007,N/A,
humic,39.94329,-105.24242,,1718,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
humic,39.94329,-105.24242,,1718,,,,,Pond,Permanent,Artificial,2007,N/A,
humic,39.94329,-105.24242,,1718,2.50,77.11,,296.20,Pond,Permanent,Artificial,2010,N/A,
humic,39.94329,-105.24242,,1718,2.00,76.50,,218.10,Pond,Permanent,Artificial,2010,N/A,
humic,39.94329,-105.24242,,1718,1.00,36.88,,84.90,Pond,Permanent,Artificial,2010,N/A,
humic,39.94329,-105.24242,,1718,1.50,109.00,,349.00,Pond,Permanent,Artificial,2011,N/A,
humic,39.94329,-105.24242,,1718,1.50,,,,Pond,Permanent,Artificial,2011,N/A,
Split,39.89188,-105.24337,,1897,0.50,337.96,,3086.20,Pond,Temporary,Artificial,2010,N/A,
Split,39.89188,-105.24337,,1897,0.02,209.21,,1921.90,Pond,Temporary,Artificial,2010,N/A,
Split,39.89188,-105.24337,,1897,0.00,157.28,,575.60,Pond,Temporary,Artificial,2010,N/A,
12333,40.01318,-105.24355,,1606,2.00,,,9225.00,Pond,Permanent,,2009,N/A,
OSMP98,39.92002,-105.24358,,1854,,,,,Pond,Temporary,Natural,2008,N/A,
OSMP98,39.92002,-105.24358,,1854,0.30,,,73.00,Pond,Temporary,Natural,2009,N/A,
OSMP98,39.92002,-105.24358,,1854,0.50,160.32,,861.30,Pond,Temporary,Natural,2010,N/A,
OSMP98,39.92002,-105.24358,,1854,0.50,34.44,,80.90,Pond,Temporary,Natural,2010,N/A,
OSMP98,39.92002,-105.24358,,1854,0.30,94.49,,88.90,Pond,Temporary,Natural,2010,N/A,
CO-11349,40.159365,-105.244632,,1645,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
CO-11349,40.159365,-105.244632,,1645,,,,,Pond,Permanent,Artificial,2008,N/A,
CO-11349,40.159365,-105.244632,,1645,,,,,Pond,Permanent,Artificial,2008,N/A,
CO-11349,40.159365,-105.244632,,1645,,,,,Pond,Permanent,Artificial,2008,N/A,
CO-11349,40.159365,-105.244632,,1645,,,,,Pond,Permanent,Artificial,2008,N/A,
CO-11349,40.159365,-105.244632,,1645,2.00,,,,Pond,Permanent,Artificial,2008,N/A,
CO-CUE1,40.00919,-105.24569,,1609,2.00,157.00,,1145.70,Pond,Permanent,Artificial,2011,N/A,
CO-CUE1,40.00919,-105.24569,,1609,1.30,160.00,,1150.00,Pond,Permanent,Artificial,2011,N/A,
12376,40.00898,-105.2466,,1607,,,,3754.00,Pond,Permanent,Artificial,2009,N/A,
CO-11456,40.149268,-105.246993,,1639,1.00,,,,Pond,Permanent,Artificial,2007,N/A,
CO-TWCA,39.539876,-105.247389,,2333,,,,2088.00,Pond,Permanent,,2007,N/A,
Jewel,39.88659,-105.24816,,1918,1.50,,,24710.00,Lake,Permanent,Artificial,2008,N/A,
Jewel,39.88659,-105.24816,,1918,0.60,,,,Lake,Permanent,Artificial,2008,N/A,
Jewel,39.88659,-105.24816,,1918,2.00,869.04,,32500.00,Lake,Permanent,Artificial,2010,N/A,
Jewel,39.88659,-105.24816,,1918,1.50,740.30,,31405.00,Lake,Permanent,Artificial,2010,N/A,
Jewel,39.88659,-105.24816,,1918,1.50,675.92,,28720.00,Lake,Permanent,Artificial,2010,N/A,
Jewel,39.88659,-105.24816,,1918,2.00,596.00,,24152.00,Lake,Permanent,Artificial,2011,N/A,
Jewel,39.88659,-105.24816,,1918,1.40,606.00,,24185.00,Lake,Permanent,Artificial,2011,N/A,
11967,40.06817,-105.24866,,1629,2.00,,,3246.00,Pond,Permanent,Artificial,2009,N/A,
CO-CowSh,39.866965,-105.249014,,1925,1.00,,,243.00,Pond,Temporary,Artificial,2007,N/A,
11444,40.149816,-105.253643,,1664,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
Don’tSho,39.9103,-105.25443,,1860,2.00,289.68,,4839.90,Pond,Temporary,Artificial,2010,N/A,
CO-11871,40.063114,-105.255502,,1630,,,,,Pond,Permanent,Natural,2007,N/A,
CO-ISLAN,40.084379,-105.25693,,1616,2.00,,,10460.00,Pond,Permanent,Artificial,2008,N/A,
12776,39.93103,-105.25716,,1764,2.00,,,,Pond,Permanent,Natural,2007,N/A,
12776,39.93103,-105.25716,,1764,,,,,Pond,Permanent,Natural,2008,N/A,
12776,39.93103,-105.25716,,1764,3.00,,,1196.00,Pond,Permanent,Natural,2009,N/A,
12776,39.93103,-105.25716,,1764,,,,1237.00,Pond,Permanent,Natural,2009,N/A,
12776,39.93103,-105.25716,,1764,1.00,,,,Pond,Permanent,Natural,2009,N/A,
12776,39.93103,-105.25716,,1764,2.00,159.40,,1248.40,Pond,Permanent,Natural,2010,N/A,
