ID,Lat,Lon,DetCov1,Elevation,Depth,Length,Width,Area,,,Wetland Type,Other,Beaver Influenced,NOTES
11655,40.11101,-105.06776,,1543,,,,677.00,Pond,Permanent,Artificial,2009,N/A,
3897,39.8443,-105.0713,,1648,2.00,,,6307.00,Pond,Permanent,Artificial,2009,N/A,
16559,40.56217,-105.072152,,1530,,,,3000.00,Pond,Permanent,Natural,2007,N/A,
3893,39.8458,-105.07777,,1663,,,,1443.00,Pond,Permanent,Artificial,2009,N/A,
CO-11767,40.07278,-105.078571,,1529,,,,210.00,Pond,Permanent,Artificial,2007,N/A,
CO-11767,40.07278,-105.078571,,1529,2.00,,,2045.00,Pond,Permanent,Artificial,2009,N/A,
5568,39.922416,-105.081501,,1639,1.00,,,1699.00,Pond,Temporary,Artificial,2007,N/A,
11755,40.075858,-105.082589,,1534,,,,7308.00,Pond,Permanent,Artificial,2007,N/A,
9241,39.82262,-105.08283,,1687,,,,,Pond,Permanent,Artificial,2009,N/A,
CO-UNDE,40.516524,-105.084243,,1519,,,,3980.00,Pond,Permanent,Artificial,2008,N/A,
CO-Magpi,40.604141,-105.08744,,1518,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
CO-Magpi,40.604141,-105.08744,,1518,2.00,,,5008.00,Pond,Permanent,Artificial,2009,N/A,
CO-EERIE,40.024234,-105.09083,,1630,,,,71433.00,Pond,Permanent,Artificial,2008,N/A,
12607,39.96167,-105.09112,,1601,1.50,,,,Pond,Permanent,Artificial,2007,N/A,
12607,39.96167,-105.09112,,1601,,,,,Pond,Permanent,Artificial,2007,N/A,
12607,39.96167,-105.09112,,1601,,,,3077.00,Pond,Permanent,Artificial,2008,N/A,
12607,39.96167,-105.09112,,1601,1.20,,,,Pond,Permanent,Artificial,2008,N/A,
12607,39.96167,-105.09112,,1601,,,,,Pond,Permanent,Artificial,2008,N/A,
12607,39.96167,-105.09112,,1601,,,,,Pond,Permanent,Artificial,2008,N/A,
12607,39.96167,-105.09112,,1601,,,,,Pond,Permanent,Artificial,2008,N/A,
12607,39.96167,-105.09112,,1601,,,,3060.00,Pond,Permanent,Artificial,2009,N/A,
12607,39.96167,-105.09112,,1601,,,,,Pond,Permanent,Artificial,2009,N/A,
12607,39.96167,-105.09112,,1601,2.00,225.31,,3020.30,Pond,Permanent,Artificial,2010,N/A,
12607,39.96167,-105.09112,,1601,2.00,225.31,,2796.00,Pond,Permanent,Artificial,2010,N/A,
12607,39.96167,-105.09112,,1601,2.00,225.31,,3119.60,Pond,Permanent,Artificial,2010,N/A,
12607,39.96167,-105.09112,,1601,5.00,185.00,,2109.00,Pond,Permanent,Artificial,2011,N/A,
10757,39.96429,-105.09127,,1598,1.50,,,4357.00,Pond,Permanent,Artificial,2007,N/A,
10757,39.96429,-105.09127,,1598,,,,3746.00,Pond,Permanent,Artificial,2008,N/A,
10757,39.96429,-105.09127,,1598,,,,,Pond,Permanent,Artificial,2008,N/A,
10757,39.96429,-105.09127,,1598,,,,,Pond,Permanent,Artificial,2008,N/A,
10757,39.96429,-105.09127,,1598,,,,,Pond,Permanent,Artificial,2008,N/A,
10757,39.96429,-105.09127,,1598,,,,,Pond,Permanent,Artificial,2008,N/A,
10757,39.96429,-105.09127,,1598,2.00,,,,Pond,Permanent,Artificial,2009,N/A,
10757,39.96429,-105.09127,,1598,1.50,273.59,,3408.33,Pond,Permanent,Artificial,2009,N/A,
10757,39.96429,-105.09127,,1598,1.50,273.59,,3408.33,Pond,Permanent,Artificial,2010,N/A,
10757,39.96429,-105.09127,,1598,2.50,289.68,,3507.60,Pond,Permanent,Artificial,2010,N/A,
